"description","from_road","to_road","length_in_meters","delay_in_seconds","Year","Month (number)","Day of month","Hour","Minute","rua_name","dupl_from","dupl_to"
slow traffic,Avenida General Norton de Matos,Avenida Padre Júlio Fragata,540,89,2018,9,12,18,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,690,146,2018,9,13,8,0,Rua Costa Gomes,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vicente,170,126,2018,9,13,8,0,Avenida Padre Júlio Fragata,0,0
queuing traffic,Avenida Central,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),480,161,2018,9,13,17,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),500,33,2018,9,13,17,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1750,199,2018,9,13,18,0,Avenida João Paulo II,0,0
slow traffic,Rua das Palhotas,Avenida Padre Júlio Fragata,220,12,2018,9,13,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,9,13,19,0,Avenida Central,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),270,48,2018,9,13,20,0,Avenida João Paulo II,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,690,215,2018,9,14,8,0,Rua Costa Gomes,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),680,32,2018,9,14,8,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,9,14,11,0,Avenida Central,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),230,176,2018,9,14,15,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,9,14,15,0,Avenida Central,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),500,217,2018,9,14,16,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,9,14,16,0,Avenida Central,0,0
queuing traffic,Avenida Central,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),480,161,2018,9,14,17,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),830,53,2018,9,14,17,0,Avenida João Paulo II,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,405,225,2018,9,14,17,0,Avenida da Liberdade,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,9,14,17,0,Avenida Padre Júlio Fragata,0,0
